а,CCONJ
абахта,PROPN
аббревiаторъ,PROPN
або,CCONJ
абовѣмъ,DET
абрисъ,NOUN
абсолютъ,NOUN
абшитованний,ADJ
абы,SCONJ
авреоля,NOUN
автентикъ,NOUN
автентице,ADJ
автентичный,ADJ
автентыце,NOUN
агрестъ,NOUN
адамантовый,ADJ
адамашка,NOUN
адамашковый,ADJ
адверсаръ,NOUN
аеръ,PROPN
ажбы,SCONJ
аже,PART
аже,PART
ажно,ADV
ажъ,PART
аза,PROPN
азбука,PROPN
азбучникъ,NOUN
аиле,ADP
аирный,ADJ
аирь,PROPN
акордъ,NOUN
аксамитный,ADJ
аксамитъ,VERB
актиковане,NOUN
актиковати,VERB
актоватися,VERB
акторъ,ADJ
акты,NOUN
актыковане,NOUN
актыковати,VERB
алабарда,NOUN
албо,CCONJ
але,CCONJ
але,CCONJ
алекговати,VERB
алексѣръ,NOUN
алембиковый,ADJ
алитъ,VERB
алкермесовый,ADJ
алкермесъ,NOUN
алтабасовый,ADJ
алтеркгаторъ,ADJ
альбовѣмъ,SCONJ
алюбарта,NUM
аманатъ,NOUN
амбонъ,PROPN
анафематисовати,VERB
англикъ,NOUN
анголикъ,PROPN
анижли,CCONJ
аннаты,NOUN
анталъ,VERB
антесигнанъ,NOUN
антецеденсъ,NOUN
антецесорка,PROPN
антецессоръ,PROPN
апаратъ,NOUN
апелевати,VERB
апетитъ,VERB
апострофа,NOUN
аппаратъ,PROPN
аппелевати,VERB
апплѣковати,VERB
аппробовати,VERB
аптека,NOUN
аптыкаръ,NOUN
арбитеръ,PROPN
аренда,NOUN
арандаръ,PROPN
арендарка,NOUN
арендовный,ADJ
арештовати,VERB
арештовный,ADJ
арештъ,NUM
арка,NOUN
аркабузъ,ADP
аркгументъ,NOUN
аркушъ,PROPN
армата,NOUN
арматка,NOUN
арматный,ADJ
армашъ,DET
артикулъ,VERB
архетипъ,NOUN
архивунтовникъ,NOUN
архисинагогъ,VERB
архитупъ,NOUN
арцибѣскупство,ADP
арцибѣскупъ,NOUN
арцигетманъ,NOUN
ii,PROPN
арциминистръ,PROPN
арцюфѣрникь,NOUN
арцѣбѣскупъ,PROPN
арчакъ,NOUN
асаула,PROPN
асаулство,NOUN
аспидный,ADJ
аспидъ,NOUN
аспръ,PROPN
ассекуровати,VERB
атамання,NOUN
атаманство,NOUN
атаманъ,NOUN
атоли,SCONJ
атютантъ,NOUN
аффектъ,NOUN
аффектовати,VERB
ачей,PROPN
ачи,PROPN
ачколвекъ,PART
ба,NUM
бабинець,NOUN
бавелняный,ADJ
бавити,VERB
бавитися,VERB
баволна,ADV
баволняный,ADJ
баволница,NOUN
багнистий,ADJ
бадавѣя,NOUN
баданьеся,ADV
бадатися,VERB
бадачъ,NOUN
бадливый,ADJ
базилишокъ,NOUN
байбаракъ,CCONJ
байда,NOUN
байдакъ,CCONJ
байка,NOUN
байстря,NOUN
бакгателя,NOUN
бакшта,NOUN
бакъ,ADV
баламутити,VERB
баламутний,ADJ
баламутня,NOUN
баламуть,AUX
балванъ,NOUN
балвохвалныи,ADJ
балвохвалство,NOUN
балвохвалца,NOUN
балвѣръ,NOUN
балдахинъ,NUM
балсанъ,NOUN
балясы,NOUN
бандура,NOUN
бандуристъ,ADJ
бандурка,NOUN
банитъ,VERB
банкетовати,VERB
банкетоватися,VERB
банкетовець,NOUN
банюване,NOUN
банкетъ,AUX
банька,NOUN
банѣтъ,NOUN
баня,NOUN
баранокъ,CCONJ
барбара,NOUN
барва,NOUN
барвяноходецъ,NOUN
бардакъ,ADV
бардышъ,ADV
барзо,ADV
барилко,PART
барило,VERB
барилце,NOUN
баритися,VERB
барма,NUM
барминъ,NOUN
барокъ,NOUN
барта,NOUN
бархановый,ADJ
барщовый,ADJ
басаманы,VERB
батко,SCONJ
батковсчина,NOUN
батманъ,NOUN
i,PROPN
батогъ,VERB
батоже,ADV
батъ,VERB
бачене,NOUN
бачити,VERB
бачитися,VERB
бачмага,NOUN
бачмажникъ,NOUN
бачне,ADV
бачный,ADJ
бачця,NOUN
баша,DET
башловка,NOUN
башта,NOUN
баюркъ,NOUN
баяти,VERB
бедринець,NOUN
бедринцовый,ADJ
безбожникъ,NOUN
безбожность,NOUN
безбожный,ADJ
безбронный,ADJ
безбѣдникъ,NOUN
безвинный,ADJ
безводе,NOUN
безвѣдомне,ADV
безвѣрникъ,NOUN
безверство,NOUN
безвестно,ADV
безголовный,ADJ
безгрунтовный,ADJ
безгреховный,ADJ
безденный,ADJ
бездолникъ,NOUN
бездолокь,ADV
